"","","","","","","","","1","","",""
"183","cds-hnc-w","1","30","92",NA,NA,NA,"0.642591295309978","0.809196448759453","125.160628505216","46.6859732133912"
"184","cds-hrp-w","1","30","92",NA,NA,NA,NA,NA,NA,NA
"185","cds-hnc-w","1","30","93",NA,NA,NA,"0.510641508799617","-3.62641349298481","125.160628505216","58.7496305784503"
"186","cds-hrp-w","1","30","93",NA,NA,NA,"0.809664716757927","-1.92984487697012","125.160628505216","37.0523741236082"
"187","cds-hnc-w","1","30","94",NA,NA,NA,"0.737408758782079","-5.17378482001352","125.160628505216","40.6829992764782"
"188","cds-hrp-w","1","30","94",NA,NA,NA,"0.823807752247695","-7.52963745482933","125.160628505216","36.4162632824798"
"189","cds-hnc-w","1","30","95",NA,NA,NA,"0.752613728426408","-2.7956906021561","125.160628505216","39.8610852644491"
"190","cds-hrp-w","1","30","95",NA,NA,NA,NA,NA,NA,NA
"191","cds-hnc-w","1","30","96",NA,NA,NA,"0.628610738771398","11.7775639968308","125.160628505216","47.7242881001908"
"192","cds-hrp-w","1","30","96",NA,NA,NA,"0.999999999999972","16.2805363795315","125.160628505216","30.0000000000008"
