"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1004","cds-hnc","2","60","135",NA,NA,NA,"0.525434429035048","-22.6271284124488"
"1005","cds-hrp","2","60","135",NA,NA,NA,"0.466577840692308","-24.8304903794124"
"1006","2","60","136","21.910320033173","-37.820640066346","0.34291415070426","174.970907082064","233.843094975339","2"
"1007","cds-hnc","2","60","136",NA,NA,NA,"0.456844967284131","-35.2079475769746"
"1008","cds-hrp","2","60","136",NA,NA,NA,"0.299726996187827","-39.3480905092515"
"1009","2","60","137","8.40076428078789","-10.8015285615758","0.388969198439862","154.25385927898","233.843094975339","2"
"1010","cds-hnc","2","60","137",NA,NA,NA,"0.737171356864238","-1.02849394571385"
"1011","cds-hrp","2","60","137",NA,NA,NA,"0.402398506802503","-8.67814663714906"
"1012","2","60","138","14.6468709669584","-23.2937419339168","0.363095907373287","165.245597049145","233.843094975339","2"
"1013","cds-hnc","2","60","138",NA,NA,NA,"0.53688808800766","-20.9072255611495"
"1014","cds-hrp","2","60","138",NA,NA,NA,"0.304450926450468","-24.7731624214678"
"1015","2","60","139","13.6680943319665","-25.336188663933","0.508624414065577","117.965237886249","233.843094975339","1"
"1016","cds-hnc","2","60","139",NA,NA,NA,"0.508624504815912","-25.3361886639299"
"1017","cds-hrp","2","60","139",NA,NA,NA,"0.342357296696979","-23.76545752326"
"1018","2","60","140","23.5612086609156","-41.1224173218312","0.271248723702224","221.199197478502","233.843094975339","2"
"1019","cds-hnc","2","60","140",NA,NA,NA,"0.476080034168752","-31.2558224328149"
"1020","cds-hrp","2","60","140",NA,NA,NA,"0.23048717177138","-41.4678020243387"
"1021","2","60","141","27.6733348006438","-49.3466696012876","0.314966439610937","190.496486146636","233.843094975339","2"
"1022","cds-hnc","2","60","141",NA,NA,NA,"0.41425918281018","-45.2770223718138"
"1023","cds-hrp","2","60","141",NA,NA,NA,"0.320953401423396","-49.8930839988615"
"1024","2","60","142","23.2915488171344","-40.5830976342688","0.327153141403688","183.40034805279","233.843094975339","2"
